     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 16:31:04:000,     1.039
         2, 2008/07/29, 16:31:04:133,     1.061
         3, 2008/07/29, 16:31:05:194,     1.052
         4, 2008/07/29, 16:31:06:246,     0.991
         5, 2008/07/29, 16:31:07:237,     1.015
         6, 2008/07/29, 16:31:08:252,     1.086
         7, 2008/07/29, 16:31:09:338,     1.073
         8, 2008/07/29, 16:31:10:411,     1.120
         9, 2008/07/29, 16:31:11:531,     1.085
        10, 2008/07/29, 16:31:12:616,     1.060
        11, 2008/07/29, 16:31:13:676,     1.063
        12, 2008/07/29, 16:31:14:739,     0.955
        13, 2008/07/29, 16:31:15:694,     1.007
        14, 2008/07/29, 16:31:16:701,     1.118
        15, 2008/07/29, 16:31:17:819,     1.097
        16, 2008/07/29, 16:31:18:916,     0.994
        17, 2008/07/29, 16:31:19:910,     1.025
        18, 2008/07/29, 16:31:20:935,     1.088
        19, 2008/07/29, 16:31:22:023,     1.109
        20, 2008/07/29, 16:31:23:132,     1.000
        21, 2008/07/29, 16:31:24:132,     1.012
        22, 2008/07/29, 16:31:25:144,     1.059
        23, 2008/07/29, 16:31:26:203,     0.936
        24, 2008/07/29, 16:31:27:139,     0.959
        25, 2008/07/29, 16:31:28:098,     1.013
        26, 2008/07/29, 16:31:29:111,     1.030
        27, 2008/07/29, 16:31:30:141,     0.927
        28, 2008/07/29, 16:31:31:068,     0.984
        29, 2008/07/29, 16:31:32:052,     1.066
        30, 2008/07/29, 16:31:33:118,     0.985
        31, 2008/07/29, 16:31:34:103,     0.981
        32, 2008/07/29, 16:31:35:084,     0.990
        33, 2008/07/29, 16:31:36:074,     0.881
        34, 2008/07/29, 16:31:36:955,     0.868
        35, 2008/07/29, 16:31:37:823,     0.907
        36, 2008/07/29, 16:31:38:730,     0.970
        37, 2008/07/29, 16:31:39:700,     0.860
        38, 2008/07/29, 16:31:40:560,     0.913
        39, 2008/07/29, 16:31:41:473,     1.014
        40, 2008/07/29, 16:31:42:487,     0.954
        41, 2008/07/29, 16:31:43:441,     0.924
        42, 2008/07/29, 16:31:44:365,     1.028
        43, 2008/07/29, 16:31:45:393,     1.032
        44, 2008/07/29, 16:31:46:425,     0.922
        45, 2008/07/29, 16:31:47:347,     1.021
        46, 2008/07/29, 16:31:48:368,     1.062
        47, 2008/07/29, 16:31:49:430,     0.950
        48, 2008/07/29, 16:31:50:380,     0.966
        49, 2008/07/29, 16:31:51:346,     1.055
        50, 2008/07/29, 16:31:52:401,     0.950
        51, 2008/07/29, 16:31:53:351,     1.001
        52, 2008/07/29, 16:31:54:352,     1.063
        53, 2008/07/29, 16:31:55:415,     0.977
        54, 2008/07/29, 16:31:56:392,     0.977
        55, 2008/07/29, 16:31:57:369,     1.038
        56, 2008/07/29, 16:31:58:407,     0.978
        57, 2008/07/29, 16:31:59:385,     0.946
        58, 2008/07/29, 16:32:00:331,     1.011
        59, 2008/07/29, 16:32:01:342,     1.039
        60, 2008/07/29, 16:32:02:381,     0.956
        61, 2008/07/29, 16:32:03:337,     1.043
        62, 2008/07/29, 16:32:04:380,     1.058
        63, 2008/07/29, 16:32:05:438,     0.926
        64, 2008/07/29, 16:32:06:364,     0.949
        65, 2008/07/29, 16:32:07:313,     1.023
        66, 2008/07/29, 16:32:08:336,     1.005
        67, 2008/07/29, 16:32:09:341,     1.033
        68, 2008/07/29, 16:32:10:374,     1.097
        69, 2008/07/29, 16:32:11:471,     1.064
        70, 2008/07/29, 16:32:12:535,     1.013
        71, 2008/07/29, 16:32:13:548,     1.098
        72, 2008/07/29, 16:32:14:646,     1.033
        73, 2008/07/29, 16:32:15:679,     0.928
        74, 2008/07/29, 16:32:16:607,     1.019
        75, 2008/07/29, 16:32:17:626,     1.079
        76, 2008/07/29, 16:32:18:705,     0.980
        77, 2008/07/29, 16:32:19:685,     1.088
        78, 2008/07/29, 16:32:20:773,     1.125
        79, 2008/07/29, 16:32:21:898,     0.997
        80, 2008/07/29, 16:32:22:895,     1.038
        81, 2008/07/29, 16:32:23:933,     1.067
        82, 2008/07/29, 16:32:25:000,     0.997
        83, 2008/07/29, 16:32:25:997,     0.991
        84, 2008/07/29, 16:32:26:988,     1.054
        85, 2008/07/29, 16:32:28:042,     1.001
        86, 2008/07/29, 16:32:29:043,     1.027
        87, 2008/07/29, 16:32:30:070,     1.085
        88, 2008/07/29, 16:32:31:155,     0.999
        89, 2008/07/29, 16:32:32:154,     0.998
        90, 2008/07/29, 16:32:33:152,     1.064
        91, 2008/07/29, 16:32:34:216,     1.028
        92, 2008/07/29, 16:32:35:244,     0.987
        93, 2008/07/29, 16:32:36:231,     1.042
        94, 2008/07/29, 16:32:37:273,     0.999
        95, 2008/07/29, 16:32:38:272,     0.958
        96, 2008/07/29, 16:32:39:230,     1.046
        97, 2008/07/29, 16:32:40:276,     1.065
        98, 2008/07/29, 16:32:41:341,     0.964
        99, 2008/07/29, 16:32:42:305,     1.000
       100, 2008/07/29, 16:32:43:305,     1.090
       101, 2008/07/29, 16:32:44:395,     0.982
       102, 2008/07/29, 16:32:45:377,     1.020
       103, 2008/07/29, 16:32:46:397,     1.132
       104, 2008/07/29, 16:32:47:529,     1.033
       105, 2008/07/29, 16:32:48:562,     1.068
       106, 2008/07/29, 16:32:49:630,     1.150
       107, 2008/07/29, 16:32:50:780,     1.034
