     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 16:36:23:000,     0.637
         2, 2008/07/29, 16:36:23:058,     0.635
         3, 2008/07/29, 16:36:23:693,     0.633
         4, 2008/07/29, 16:36:24:326,     0.605
         5, 2008/07/29, 16:36:24:931,     0.616
         6, 2008/07/29, 16:36:25:547,     0.609
         7, 2008/07/29, 16:36:26:156,     0.607
         8, 2008/07/29, 16:36:26:763,     0.636
         9, 2008/07/29, 16:36:27:399,     0.649
        10, 2008/07/29, 16:36:28:048,     0.660
        11, 2008/07/29, 16:36:28:708,     0.679
        12, 2008/07/29, 16:36:29:387,     0.754
        13, 2008/07/29, 16:36:30:141,     0.877
        14, 2008/07/29, 16:36:31:018,     0.927
        15, 2008/07/29, 16:36:31:945,     0.903
        16, 2008/07/29, 16:36:32:848,     0.968
        17, 2008/07/29, 16:36:33:816,     1.007
        18, 2008/07/29, 16:36:34:823,     0.952
        19, 2008/07/29, 16:36:35:775,     0.987
        20, 2008/07/29, 16:36:36:762,     1.010
        21, 2008/07/29, 16:36:37:772,     0.983
        22, 2008/07/29, 16:36:38:755,     0.881
        23, 2008/07/29, 16:36:39:636,     0.859
        24, 2008/07/29, 16:36:40:495,     0.887
        25, 2008/07/29, 16:36:41:382,     0.868
        26, 2008/07/29, 16:36:42:250,     0.785
        27, 2008/07/29, 16:36:43:035,     0.751
        28, 2008/07/29, 16:36:43:786,     0.737
        29, 2008/07/29, 16:36:44:523,     0.741
        30, 2008/07/29, 16:36:45:264,     0.726
        31, 2008/07/29, 16:36:45:990,     0.705
        32, 2008/07/29, 16:36:46:695,     0.710
        33, 2008/07/29, 16:36:47:405,     0.723
        34, 2008/07/29, 16:36:48:128,     0.739
        35, 2008/07/29, 16:36:48:867,     0.721
        36, 2008/07/29, 16:36:49:588,     0.700
        37, 2008/07/29, 16:36:50:288,     0.705
        38, 2008/07/29, 16:36:50:993,     0.730
        39, 2008/07/29, 16:36:51:723,     0.738
        40, 2008/07/29, 16:36:52:461,     0.748
        41, 2008/07/29, 16:36:53:209,     0.711
        42, 2008/07/29, 16:36:53:920,     0.711
        43, 2008/07/29, 16:36:54:631,     0.703
        44, 2008/07/29, 16:36:55:334,     0.699
        45, 2008/07/29, 16:36:56:033,     0.695
        46, 2008/07/29, 16:36:56:728,     0.679
        47, 2008/07/29, 16:36:57:407,     0.667
        48, 2008/07/29, 16:36:58:074,     0.661
        49, 2008/07/29, 16:36:58:735,     0.664
        50, 2008/07/29, 16:36:59:399,     0.664
        51, 2008/07/29, 16:37:00:063,     0.659
        52, 2008/07/29, 16:37:00:722,     0.653
        53, 2008/07/29, 16:37:01:375,     0.644
        54, 2008/07/29, 16:37:02:019,     0.645
        55, 2008/07/29, 16:37:02:664,     0.640
        56, 2008/07/29, 16:37:03:304,     0.629
        57, 2008/07/29, 16:37:03:933,     0.594
        58, 2008/07/29, 16:37:04:527,     0.641
        59, 2008/07/29, 16:37:05:168,     0.622
        60, 2008/07/29, 16:37:05:790,     0.632
        61, 2008/07/29, 16:37:06:422,     0.615
        62, 2008/07/29, 16:37:07:037,     0.635
        63, 2008/07/29, 16:37:07:672,     0.628
        64, 2008/07/29, 16:37:08:300,     0.644
        65, 2008/07/29, 16:37:08:944,     0.656
        66, 2008/07/29, 16:37:09:600,     0.652
        67, 2008/07/29, 16:37:10:252,     0.605
        68, 2008/07/29, 16:37:10:857,     0.666
        69, 2008/07/29, 16:37:11:523,     0.644
