     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 16:41:18:000,     1.015
         2, 2008/07/29, 16:41:18:063,     1.099
         3, 2008/07/29, 16:41:19:162,     1.026
         4, 2008/07/29, 16:41:20:188,     1.096
         5, 2008/07/29, 16:41:21:284,     1.096
         6, 2008/07/29, 16:41:22:380,     0.940
         7, 2008/07/29, 16:41:23:320,     1.061
         8, 2008/07/29, 16:41:24:381,     1.207
         9, 2008/07/29, 16:41:25:588,     1.141
        10, 2008/07/29, 16:41:26:729,     1.204
        11, 2008/07/29, 16:41:27:933,     1.168
        12, 2008/07/29, 16:41:29:101,     1.033
        13, 2008/07/29, 16:41:30:134,     1.158
        14, 2008/07/29, 16:41:31:292,     1.114
        15, 2008/07/29, 16:41:32:406,     0.820
        16, 2008/07/29, 16:41:33:226,     0.875
        17, 2008/07/29, 16:41:34:101,     1.340
        18, 2008/07/29, 16:41:35:441,     1.276
        19, 2008/07/29, 16:41:36:717,     1.218
        20, 2008/07/29, 16:41:37:935,     1.065
        21, 2008/07/29, 16:41:39:000,     1.155
        22, 2008/07/29, 16:41:40:155,     1.157
        23, 2008/07/29, 16:41:41:312,     1.025
        24, 2008/07/29, 16:41:42:337,     1.153
        25, 2008/07/29, 16:41:43:490,     1.178
        26, 2008/07/29, 16:41:44:668,     1.123
        27, 2008/07/29, 16:41:45:791,     1.186
        28, 2008/07/29, 16:41:46:977,     1.132
        29, 2008/07/29, 16:41:48:109,     1.090
        30, 2008/07/29, 16:41:49:199,     1.151
        31, 2008/07/29, 16:41:50:350,     1.144
        32, 2008/07/29, 16:41:51:494,     1.049
        33, 2008/07/29, 16:41:52:543,     1.165
        34, 2008/07/29, 16:41:53:708,     1.211
        35, 2008/07/29, 16:41:54:919,     1.137
        36, 2008/07/29, 16:41:56:056,     1.136
        37, 2008/07/29, 16:41:57:192,     1.198
        38, 2008/07/29, 16:41:58:390,     1.121
        39, 2008/07/29, 16:41:59:511,     1.145
        40, 2008/07/29, 16:42:00:656,     1.221
        41, 2008/07/29, 16:42:01:877,     1.138
        42, 2008/07/29, 16:42:03:015,     1.126
        43, 2008/07/29, 16:42:04:141,     1.175
        44, 2008/07/29, 16:42:05:316,     1.119
        45, 2008/07/29, 16:42:06:435,     1.146
        46, 2008/07/29, 16:42:07:581,     1.182
        47, 2008/07/29, 16:42:08:763,     1.081
        48, 2008/07/29, 16:42:09:844,     1.151
        49, 2008/07/29, 16:42:10:995,     1.093
        50, 2008/07/29, 16:42:12:088,     1.103
        51, 2008/07/29, 16:42:13:191,     1.179
        52, 2008/07/29, 16:42:14:370,     1.077
        53, 2008/07/29, 16:42:15:447,     1.126
        54, 2008/07/29, 16:42:16:573,     1.198
        55, 2008/07/29, 16:42:17:771,     1.059
        56, 2008/07/29, 16:42:18:830,     1.162
        57, 2008/07/29, 16:42:19:992,     1.095
        58, 2008/07/29, 16:42:21:087,     1.086
        59, 2008/07/29, 16:42:22:173,     1.171
        60, 2008/07/29, 16:42:23:344,     1.081
        61, 2008/07/29, 16:42:24:425,     1.155
        62, 2008/07/29, 16:42:25:580,     1.203
        63, 2008/07/29, 16:42:26:783,     1.117
        64, 2008/07/29, 16:42:27:900,     1.142
        65, 2008/07/29, 16:42:29:042,     1.195
        66, 2008/07/29, 16:42:30:237,     1.162
        67, 2008/07/29, 16:42:31:399,     1.114
        68, 2008/07/29, 16:42:32:513,     1.211
        69, 2008/07/29, 16:42:33:724,     1.174
        70, 2008/07/29, 16:42:34:898,     1.173
        71, 2008/07/29, 16:42:36:071,     1.259
        72, 2008/07/29, 16:42:37:330,     1.207
        73, 2008/07/29, 16:42:38:537,     1.135
        74, 2008/07/29, 16:42:39:672,     1.213
        75, 2008/07/29, 16:42:40:885,     1.145
        76, 2008/07/29, 16:42:42:030,     1.173
        77, 2008/07/29, 16:42:43:203,     1.189
        78, 2008/07/29, 16:42:44:392,     1.148
        79, 2008/07/29, 16:42:45:540,     1.209
        80, 2008/07/29, 16:42:46:749,     1.159
        81, 2008/07/29, 16:42:47:908,     1.165
        82, 2008/07/29, 16:42:49:073,     1.176
        83, 2008/07/29, 16:42:50:249,     1.106
        84, 2008/07/29, 16:42:51:355,     1.142
        85, 2008/07/29, 16:42:52:497,     1.108
        86, 2008/07/29, 16:42:53:605,     1.174
        87, 2008/07/29, 16:42:54:779,     1.166
        88, 2008/07/29, 16:42:55:945,     1.125
        89, 2008/07/29, 16:42:57:070,     1.159
        90, 2008/07/29, 16:42:58:229,     1.031
        91, 2008/07/29, 16:42:59:260,     1.096
        92, 2008/07/29, 16:43:00:356,     1.200
        93, 2008/07/29, 16:43:01:556,     1.063
        94, 2008/07/29, 16:43:02:619,     1.198
        95, 2008/07/29, 16:43:03:817,     1.176
        96, 2008/07/29, 16:43:04:993,     1.095
        97, 2008/07/29, 16:43:06:088,     1.166
        98, 2008/07/29, 16:43:07:254,     1.107
        99, 2008/07/29, 16:43:08:361,     1.067
       100, 2008/07/29, 16:43:09:428,     1.042
       101, 2008/07/29, 16:43:10:470,     0.887
       102, 2008/07/29, 16:43:11:357,     0.975
       103, 2008/07/29, 16:43:12:332,     1.013
       104, 2008/07/29, 16:43:13:345,     1.043
       105, 2008/07/29, 16:43:14:388,     1.129
       106, 2008/07/29, 16:43:15:517,     1.043
       107, 2008/07/29, 16:43:16:560,     1.009
       108, 2008/07/29, 16:43:17:569,     1.133
