     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 14:22:05:000,     0.938
         2, 2008/07/29, 14:22:05:701,     0.860
         3, 2008/07/29, 14:22:06:561,     0.803
         4, 2008/07/29, 14:22:07:364,     0.770
         5, 2008/07/29, 14:22:08:134,     0.742
         6, 2008/07/29, 14:22:08:876,     0.763
         7, 2008/07/29, 14:22:09:639,     0.763
         8, 2008/07/29, 14:22:10:402,     0.829
         9, 2008/07/29, 14:22:11:231,     0.999
        10, 2008/07/29, 14:22:12:230,     0.959
        11, 2008/07/29, 14:22:13:189,     0.971
        12, 2008/07/29, 14:22:14:160,     0.966
        13, 2008/07/29, 14:22:15:126,     0.932
        14, 2008/07/29, 14:22:16:058,     0.788
        15, 2008/07/29, 14:22:16:846,     0.743
        16, 2008/07/29, 14:22:17:589,     0.715
        17, 2008/07/29, 14:22:18:304,     0.732
        18, 2008/07/29, 14:22:19:036,     0.801
        19, 2008/07/29, 14:22:19:837,     1.004
        20, 2008/07/29, 14:22:20:841,     0.972
        21, 2008/07/29, 14:22:21:813,     0.993
        22, 2008/07/29, 14:22:22:806,     0.974
        23, 2008/07/29, 14:22:23:780,     0.873
        24, 2008/07/29, 14:22:24:653,     0.806
        25, 2008/07/29, 14:22:25:459,     0.773
        26, 2008/07/29, 14:22:26:232,     0.753
        27, 2008/07/29, 14:22:26:985,     0.797
        28, 2008/07/29, 14:22:27:782,     0.853
        29, 2008/07/29, 14:22:28:635,     0.872
        30, 2008/07/29, 14:22:29:507,     0.863
        31, 2008/07/29, 14:22:30:370,     0.880
        32, 2008/07/29, 14:22:31:250,     0.850
        33, 2008/07/29, 14:22:32:100,     0.820
        34, 2008/07/29, 14:22:32:920,     0.799
        35, 2008/07/29, 14:22:33:719,     0.787
        36, 2008/07/29, 14:22:34:506,     0.800
        37, 2008/07/29, 14:22:35:306,     0.850
        38, 2008/07/29, 14:22:36:156,     0.877
        39, 2008/07/29, 14:22:37:033,     0.907
        40, 2008/07/29, 14:22:37:940,     0.975
        41, 2008/07/29, 14:22:38:915,     0.952
        42, 2008/07/29, 14:22:39:867,     0.954
        43, 2008/07/29, 14:22:40:821,     0.859
        44, 2008/07/29, 14:22:41:680,     0.843
        45, 2008/07/29, 14:22:42:523,     0.829
        46, 2008/07/29, 14:22:43:352,     0.858
        47, 2008/07/29, 14:22:44:210,     0.948
        48, 2008/07/29, 14:22:45:158,     1.026
        49, 2008/07/29, 14:22:46:184,     0.950
        50, 2008/07/29, 14:22:47:134,     0.942
        51, 2008/07/29, 14:22:48:076,     0.877
        52, 2008/07/29, 14:22:48:953,     0.835
        53, 2008/07/29, 14:22:49:788,     0.814
        54, 2008/07/29, 14:22:50:602,     0.811
        55, 2008/07/29, 14:22:51:413,     0.816
        56, 2008/07/29, 14:22:52:229,     0.875
        57, 2008/07/29, 14:22:53:104,     0.894
        58, 2008/07/29, 14:22:53:998,     0.907
        59, 2008/07/29, 14:22:54:905,     0.885
        60, 2008/07/29, 14:22:55:790,     0.865
        61, 2008/07/29, 14:22:56:655,     0.807
        62, 2008/07/29, 14:22:57:462,     0.779
        63, 2008/07/29, 14:22:58:241,     0.749
        64, 2008/07/29, 14:22:58:990,     0.750
        65, 2008/07/29, 14:22:59:740,     0.760
        66, 2008/07/29, 14:23:00:500,     0.958
        67, 2008/07/29, 14:23:01:458,     0.984
        68, 2008/07/29, 14:23:02:442,     0.941
        69, 2008/07/29, 14:23:03:383,     0.890
        70, 2008/07/29, 14:23:04:273,     0.838
        71, 2008/07/29, 14:23:05:111,     0.787
        72, 2008/07/29, 14:23:05:898,     0.735
        73, 2008/07/29, 14:23:06:633,     0.729
        74, 2008/07/29, 14:23:07:362,     0.731
        75, 2008/07/29, 14:23:08:093,     0.723
        76, 2008/07/29, 14:23:08:816,     0.760
