     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 14:33:23:000,     0.777
         2, 2008/07/29, 14:33:23:119,     0.747
         3, 2008/07/29, 14:33:23:866,     0.772
         4, 2008/07/29, 14:33:24:638,     0.786
         5, 2008/07/29, 14:33:25:424,     0.764
         6, 2008/07/29, 14:33:26:188,     0.774
         7, 2008/07/29, 14:33:26:962,     0.844
         8, 2008/07/29, 14:33:27:806,     0.885
         9, 2008/07/29, 14:33:28:691,     0.824
        10, 2008/07/29, 14:33:29:515,     0.850
        11, 2008/07/29, 14:33:30:365,     0.902
        12, 2008/07/29, 14:33:31:267,     0.878
        13, 2008/07/29, 14:33:32:145,     0.797
        14, 2008/07/29, 14:33:32:942,     0.784
        15, 2008/07/29, 14:33:33:726,     0.767
        16, 2008/07/29, 14:33:34:493,     0.783
        17, 2008/07/29, 14:33:35:276,     0.725
        18, 2008/07/29, 14:33:36:001,     0.723
        19, 2008/07/29, 14:33:36:724,     0.766
        20, 2008/07/29, 14:33:37:490,     0.815
        21, 2008/07/29, 14:33:38:305,     0.794
        22, 2008/07/29, 14:33:39:099,     0.772
        23, 2008/07/29, 14:33:39:871,     0.774
        24, 2008/07/29, 14:33:40:645,     0.829
        25, 2008/07/29, 14:33:41:474,     0.836
        26, 2008/07/29, 14:33:42:310,     0.757
        27, 2008/07/29, 14:33:43:067,     0.748
        28, 2008/07/29, 14:33:43:815,     0.751
        29, 2008/07/29, 14:33:44:566,     0.775
        30, 2008/07/29, 14:33:45:341,     0.711
        31, 2008/07/29, 14:33:46:052,     0.715
        32, 2008/07/29, 14:33:46:767,     0.744
        33, 2008/07/29, 14:33:47:511,     0.785
        34, 2008/07/29, 14:33:48:296,     0.800
        35, 2008/07/29, 14:33:49:096,     0.765
        36, 2008/07/29, 14:33:49:861,     0.759
        37, 2008/07/29, 14:33:50:620,     0.777
        38, 2008/07/29, 14:33:51:397,     0.853
        39, 2008/07/29, 14:33:52:250,     0.773
        40, 2008/07/29, 14:33:53:023,     0.741
        41, 2008/07/29, 14:33:53:764,     0.746
        42, 2008/07/29, 14:33:54:510,     0.805
        43, 2008/07/29, 14:33:55:315,     0.752
        44, 2008/07/29, 14:33:56:067,     0.730
        45, 2008/07/29, 14:33:56:797,     0.749
        46, 2008/07/29, 14:33:57:546,     0.798
        47, 2008/07/29, 14:33:58:344,     0.827
        48, 2008/07/29, 14:33:59:171,     0.756
        49, 2008/07/29, 14:33:59:927,     0.770
        50, 2008/07/29, 14:34:00:697,     0.797
        51, 2008/07/29, 14:34:01:494,     0.834
        52, 2008/07/29, 14:34:02:328,     0.799
        53, 2008/07/29, 14:34:03:127,     0.778
        54, 2008/07/29, 14:34:03:905,     0.777
        55, 2008/07/29, 14:34:04:682,     0.816
        56, 2008/07/29, 14:34:05:498,     0.815
        57, 2008/07/29, 14:34:06:313,     0.765
        58, 2008/07/29, 14:34:07:078,     0.755
        59, 2008/07/29, 14:34:07:833,     0.778
        60, 2008/07/29, 14:34:08:611,     0.778
        61, 2008/07/29, 14:34:09:389,     0.723
        62, 2008/07/29, 14:34:10:112,     0.726
        63, 2008/07/29, 14:34:10:838,     0.752
        64, 2008/07/29, 14:34:11:590,     0.801
        65, 2008/07/29, 14:34:12:391,     0.784
        66, 2008/07/29, 14:34:13:175,     0.756
        67, 2008/07/29, 14:34:13:931,     0.742
        68, 2008/07/29, 14:34:14:673,     0.758
        69, 2008/07/29, 14:34:15:431,     0.768
        70, 2008/07/29, 14:34:16:199,     0.714
        71, 2008/07/29, 14:34:16:913,     0.716
        72, 2008/07/29, 14:34:17:629,     0.718
        73, 2008/07/29, 14:34:18:347,     0.726
        74, 2008/07/29, 14:34:19:073,     0.687
        75, 2008/07/29, 14:34:19:760,     0.681
        76, 2008/07/29, 14:34:20:441,     0.690
        77, 2008/07/29, 14:34:21:131,     0.712
        78, 2008/07/29, 14:34:21:843,     0.729
        79, 2008/07/29, 14:34:22:572,     0.715
        80, 2008/07/29, 14:34:23:287,     0.690
        81, 2008/07/29, 14:34:23:977,     0.693
        82, 2008/07/29, 14:34:24:670,     0.703
        83, 2008/07/29, 14:34:25:373,     0.720
        84, 2008/07/29, 14:34:26:093,     0.697
        85, 2008/07/29, 14:34:26:790,     0.683
        86, 2008/07/29, 14:34:27:473,     0.684
        87, 2008/07/29, 14:34:28:157,     0.686
        88, 2008/07/29, 14:34:28:843,     0.701
        89, 2008/07/29, 14:34:29:544,     0.688
        90, 2008/07/29, 14:34:30:232,     0.688
        91, 2008/07/29, 14:34:30:920,     0.696
        92, 2008/07/29, 14:34:31:616,     0.710
        93, 2008/07/29, 14:34:32:326,     0.711
        94, 2008/07/29, 14:34:33:037,     0.681
        95, 2008/07/29, 14:34:33:718,     0.677
        96, 2008/07/29, 14:34:34:395,     0.679
        97, 2008/07/29, 14:34:35:074,     0.699
        98, 2008/07/29, 14:34:35:773,     0.719
        99, 2008/07/29, 14:34:36:492,     0.693
       100, 2008/07/29, 14:34:37:185,     0.690
       101, 2008/07/29, 14:34:37:875,     0.702
       102, 2008/07/29, 14:34:38:577,     0.710
       103, 2008/07/29, 14:34:39:287,     0.728
       104, 2008/07/29, 14:34:40:015,     0.701
       105, 2008/07/29, 14:34:40:716,     0.713
       106, 2008/07/29, 14:34:41:429,     0.714
       107, 2008/07/29, 14:34:42:143,     0.699
       108, 2008/07/29, 14:34:42:842,     0.680
       109, 2008/07/29, 14:34:43:522,     0.650
       110, 2008/07/29, 14:34:44:172,     0.647
       111, 2008/07/29, 14:34:44:819,     0.644
       112, 2008/07/29, 14:34:45:463,     0.652
       113, 2008/07/29, 14:34:46:115,     0.668
       114, 2008/07/29, 14:34:46:783,     0.655
       115, 2008/07/29, 14:34:47:438,     0.668
       116, 2008/07/29, 14:34:48:106,     0.681
       117, 2008/07/29, 14:34:48:787,     0.733
       118, 2008/07/29, 14:34:49:520,     0.723
       119, 2008/07/29, 14:34:50:243,     0.704
       120, 2008/07/29, 14:34:50:947,     0.712
       121, 2008/07/29, 14:34:51:659,     0.720
       122, 2008/07/29, 14:34:52:379,     0.731
       123, 2008/07/29, 14:34:53:110,     0.702
       124, 2008/07/29, 14:34:53:812,     0.678
       125, 2008/07/29, 14:34:54:490,     0.661
       126, 2008/07/29, 14:34:55:151,     0.656
       127, 2008/07/29, 14:34:55:807,     0.648
       128, 2008/07/29, 14:34:56:455,     0.641
       129, 2008/07/29, 14:34:57:096,     0.637
       130, 2008/07/29, 14:34:57:733,     0.651
       131, 2008/07/29, 14:34:58:384,     0.668
       132, 2008/07/29, 14:34:59:052,     0.702
       133, 2008/07/29, 14:34:59:754,     0.713
       134, 2008/07/29, 14:35:00:467,     0.704
       135, 2008/07/29, 14:35:01:171,     0.709
       136, 2008/07/29, 14:35:01:880,     0.720
       137, 2008/07/29, 14:35:02:600,     0.745
       138, 2008/07/29, 14:35:03:345,     0.733
       139, 2008/07/29, 14:35:04:078,     0.703
       140, 2008/07/29, 14:35:04:781,     0.682
       141, 2008/07/29, 14:35:05:463,     0.670
       142, 2008/07/29, 14:35:06:133,     0.663
       143, 2008/07/29, 14:35:06:796,     0.659
       144, 2008/07/29, 14:35:07:455,     0.649
       145, 2008/07/29, 14:35:08:104,     0.652
       146, 2008/07/29, 14:35:08:756,     0.666
       147, 2008/07/29, 14:35:09:422,     0.701
       148, 2008/07/29, 14:35:10:123,     0.709
       149, 2008/07/29, 14:35:10:832,     0.696
       150, 2008/07/29, 14:35:11:528,     0.715
       151, 2008/07/29, 14:35:12:243,     0.741
       152, 2008/07/29, 14:35:12:984,     0.749
       153, 2008/07/29, 14:35:13:733,     0.708
       154, 2008/07/29, 14:35:14:441,     0.713
       155, 2008/07/29, 14:35:15:154,     0.709
       156, 2008/07/29, 14:35:15:863,     0.723
       157, 2008/07/29, 14:35:16:586,     0.755
       158, 2008/07/29, 14:35:17:341,     0.720
       159, 2008/07/29, 14:35:18:061,     0.709
       160, 2008/07/29, 14:35:18:770,     0.706
       161, 2008/07/29, 14:35:19:476,     0.711
       162, 2008/07/29, 14:35:20:187,     0.712
       163, 2008/07/29, 14:35:20:899,     0.687
       164, 2008/07/29, 14:35:21:586,     0.705
       165, 2008/07/29, 14:35:22:291,     0.723
       166, 2008/07/29, 14:35:23:014,     0.756
       167, 2008/07/29, 14:35:23:770,     0.744
       168, 2008/07/29, 14:35:24:514,     0.729
       169, 2008/07/29, 14:35:25:243,     0.732
       170, 2008/07/29, 14:35:25:975,     0.742
       171, 2008/07/29, 14:35:26:717,     0.768
       172, 2008/07/29, 14:35:27:485,     0.741
       173, 2008/07/29, 14:35:28:226,     0.736
       174, 2008/07/29, 14:35:28:962,     0.725
       175, 2008/07/29, 14:35:29:687,     0.753
       176, 2008/07/29, 14:35:30:440,     0.770
       177, 2008/07/29, 14:35:31:210,     0.757
       178, 2008/07/29, 14:35:31:967,     0.820
       179, 2008/07/29, 14:35:32:787,     0.834
